조사기준일,학제,학교명,"KEDI
학교코드",학교상태,본분교,시도,설립,학위구분,졸업자_계,졸업자_남,졸업자_여,취업률_계,취업률_남,취업률_여,취업자_합계_계,취업자_합계_남,취업자_합계_여,취업자_교외취업자_계,취업자_교외취업자_남,취업자_교외취업자_여,취업자_교내취업자_계,취업자_교내취업자_남,취업자_교내취업자_여,취업자_해외취업자_계,취업자_해외취업자_남,취업자_해외취업자_여,취업자_농림어업종사자_계,취업자_농림어업종사자_남,취업자_농림어업종사자_여,취업자_개인창작활동종사자_계,취업자_개인창작활동종사자_남,취업자_개인창작활동종사자_여,취업자_1인창(사)업자_계,취업자_1인창(사)업자_남,취업자_1인창(사)업자_여,취업자_프리랜서_계,취업자_프리랜서_남,취업자_프리랜서_여,진학률_계,진학률_남,진학률_여,진학자_계,진학자_남,진학자_여,입대자,취업불가능자_계,취업불가능자_남,취업불가능자_여,외국인유학생_계,외국인유학생_남,외국인유학생_여,제외인정자_계,제외인정자_남,제외인정자_여,기타_계,기타_남,기타_여,미상_계,미상_남,미상_여,1차 유지취업자_계,1차 유지취업자_남,1차 유지취업자_여,1차 유지취업률_계,1차 유지취업률_남,1차 유지취업률_여,2차 유지취업자_계,2차 유지취업자_남,2차 유지취업자_여,2차 유지취업률_계,2차 유지취업률_남,2차 유지취업률_여,3차 유지취업자_계,3차 유지취업자_남,3차 유지취업자_여,3차 유지취업률_계,3차 유지취업률_남,3차 유지취업률_여,4차 유지취업자_계,4차 유지취업자_남,4차 유지취업자_여,4차 유지취업률_계,4차 유지취업률_남,4차 유지취업률_여,입학당시 기취업자_계,입학당시 기취업자_남,입학당시 기취업자_여
2023.12.31,전문대학,계명문화대학교,73016000,기존,본교,대구,사립,,1874,733,1141,62.1,61.7,62.3,879,312,567,782,276,506,13,3,10,16,5,11,0,0,0,0,0,0,22,11,11,46,17,29,11.8,11.6,11.9,221,85,136,48,0,0,0,152,78,74,37,16,21,537,194,343,0,0,0,701,241,460,88.2,86.4,89.1,632,209,423,79.5,74.9,82.0,573,185,388,72.1,66.3,75.2,554,174,380,69.7,62.4,73.6,113,27,86
2023.12.31,전문대학,계원예술대학교,73017000,기존,본교,경기,사립,,1085,317,768,62.2,67.1,60.3,554,169,385,378,119,259,17,6,11,0,0,0,0,0,0,17,10,7,11,5,6,131,29,102,15.2,13.2,16.0,165,42,123,18,0,0,0,1,0,1,11,5,6,336,83,253,0,0,0,325,101,224,82.3,80.8,83.0,285,88,197,72.2,70.4,73.0,238,72,166,60.3,57.6,61.5,228,70,158,57.7,56.0,58.5,21,9,12
2023.12.31,전문대학,고구려대학교,73025000,기존,본교,전남,사립,,589,176,413,74.5,81.1,71.6,403,133,270,321,106,215,1,1,0,0,0,0,25,11,14,0,0,0,32,10,22,24,5,19,5.3,4.5,5.6,31,8,23,1,0,0,0,1,0,1,15,3,12,7,2,5,131,29,102,301,99,202,93.5,92.5,94.0,294,99,195,91.3,92.5,90.7,277,97,180,86.0,90.7,83.7,268,93,175,83.2,86.9,81.4,215,67,148
2023.12.31,전문대학,광양보건대학교,73019000,기존,본교,전남,사립,,68,36,32,68.3,77.4,59.4,43,24,19,40,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0.0,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0,0,0,19,6,13,1,1,0,35,19,16,87.5,86.4,88.9,33,18,15,82.5,81.8,83.3,30,18,12,75.0,81.8,66.7,29,17,12,72.5,77.3,66.7,6,4,2
2023.12.31,전문대학,광주보건대학교,73020000,기존,본교,광주,사립,,1249,351,898,75.0,79.5,73.3,859,248,611,817,233,584,13,4,9,0,0,0,0,0,0,0,0,0,5,3,2,24,8,16,5.7,3.7,6.5,71,13,58,18,0,0,0,0,0,0,15,8,7,257,59,198,29,5,24,748,215,533,90.1,90.7,89.9,701,205,496,84.5,86.5,83.6,644,194,450,77.6,81.9,75.9,621,180,441,74.8,75.9,74.4,141,31,110
2023.12.31,전문대학,구미대학교,73021000,기존,본교,경북,사립,,1978,1060,918,78.7,82.1,75.0,1421,780,641,1307,720,587,3,2,1,12,10,2,6,3,3,0,0,0,48,20,28,45,25,20,4.1,3.1,5.3,82,33,49,66,1,0,1,4,3,1,20,8,12,384,170,214,0,0,0,1213,682,531,92.6,94.5,90.3,1166,661,505,89.0,91.6,85.9,1112,637,475,84.9,88.2,80.8,1090,629,461,83.2,87.1,78.4,523,338,185
2023.12.31,전문대학,국제대학교,73136000,기존,본교,경기,사립,,1182,678,504,66.3,66.0,66.7,603,351,252,466,294,172,11,4,7,0,0,0,0,0,0,1,0,1,8,5,3,117,48,69,10.6,5.8,17.1,125,39,86,74,1,1,0,61,28,33,11,4,7,307,181,126,0,0,0,423,263,160,88.7,88.3,89.4,388,239,149,81.3,80.2,83.2,337,206,131,70.6,69.1,73.2,323,197,126,67.7,66.1,70.4,28,17,11
2023.12.31,전문대학,군산간호대학교,73002000,기존,본교,전북,사립,,271,45,226,83.6,82.2,83.9,225,37,188,220,36,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,2,41,7,34,3,1,2,207,32,175,94.1,88.9,95.1,199,31,168,90.5,86.1,91.3,185,27,158,84.1,75.0,85.9,180,26,154,81.8,72.2,83.7,33,2,31
2023.12.31,전문대학,군장대학교,73023000,기존,본교,전북,사립,,752,357,395,73.0,75.5,71.0,416,191,225,345,170,175,2,0,2,0,0,0,4,1,3,0,0,0,35,10,25,30,10,20,6.0,4.8,7.1,45,17,28,13,1,1,0,103,64,39,20,9,11,154,62,92,0,0,0,318,157,161,91.6,92.4,91.0,304,153,151,87.6,90.0,85.3,293,146,147,84.4,85.9,83.1,287,144,143,82.7,84.7,80.8,167,83,84
2023.12.31,전문대학,기독간호대학교,73026000,기존,본교,광주,사립,,149,22,127,73.6,72.7,73.8,109,16,93,108,16,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,39,6,33,0,0,0,99,14,85,91.7,87.5,92.4,97,14,83,89.8,87.5,90.2,93,14,79,86.1,87.5,85.9,93,14,79,86.1,87.5,85.9,21,6,15
